Printing events sorted by their type: 
************************************** 

 Event raise time = 490, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 3630, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3650, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3660, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3670, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 3690, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 3730, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 3750, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 3830, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 3880, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3890, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3900, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3910, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3930, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3940, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 3950, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 3960, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 4010, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 4040, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 4040, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 4060, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 4100, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 4170, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 4180, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 4180, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 4190, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 4200, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 4210, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 4270, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 4280, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 4310, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 4310, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 4880, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 4910, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 4940, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 4950, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 5010, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5020, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5030, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5050, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5060, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5090, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 5160, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5170, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5200, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 5310, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5320, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5330, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5340, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 5350, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 5360, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5370, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5380, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5390, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5410, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5430, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5450, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 5460, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 5470, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 5470, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5480, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 5500, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 5510, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5540, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 5550, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 5600, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5620, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5630, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 5630, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 5630, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 5630, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 5640, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 5650, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 5680, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 5690, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 5740, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 6260, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 6370, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 6380, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 6420, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 6430, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 6440, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 6450, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 6540, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 6580, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 6590, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 6630, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 6650, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 6690, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 6730, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 6750, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 6770, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 6790, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 6800, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 6870, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 6880, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 6880, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 6900, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 6960, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 6980, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 7040, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 7050, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 7060, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 7060, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 7070, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 7070, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 7080, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 7080, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 7160, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 7160, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 7180, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 7730, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 7750, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 7860, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 7880, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 7940, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 8160, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 8230, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 8240, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 8250, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 8290, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8300, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8320, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 8360, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 8450, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 8450, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8460, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8470, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8480, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 8480, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8490, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 8500, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 8540, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 8550, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 8580, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8590, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 8590, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8600, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 8600, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 8610, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9170, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9370, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9420, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9530, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 9530, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9540, type = PersonMoveEvent, source = Child3 - ID: 78.0
 Event raise time = 9540, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9550, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9640, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9670, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9670, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 9680, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 9710, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9720, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9730, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9740, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9750, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9760, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 9770, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 9790, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9800, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9810, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9820, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9860, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 9870, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 9870, type = PersonMoveEvent, source = Child2 - ID: 77.0
 Event raise time = 9890, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 9900, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9910, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9930, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9950, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 9960, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 9970, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9980, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 9990, type = PersonMoveEvent, source = Child4 - ID: 79.0
 Event raise time = 10030, type = PersonMoveEvent, source = Dad - ID: 74.0
 Event raise time = 10030, type = PersonMoveEvent, source = Child1 - ID: 76.0
 Event raise time = 10040, type = PersonMoveEvent, source = Mom - ID: 75.0
 Event raise time = 0, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 10, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 20, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 30, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 40, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 50, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 60, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 70, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 80, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 90, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 100, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 110, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 120, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 130, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 140, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 150, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 290, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 390, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 400, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 410, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 420, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 430, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 430, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 570, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 570, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 580, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 590, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 600, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 610, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 710, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 720, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 730, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 740, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 750, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 880, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 890, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 890, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 900, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 900, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 910, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 920, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 930, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 940, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 950, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 960, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 970, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1110, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1120, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1170, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 1260, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1270, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1280, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1310, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 1420, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1430, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1440, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1450, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 1450, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1460, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1470, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1480, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1590, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 1600, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 1610, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 1880, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 1880, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 1890, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 1900, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2040, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2050, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2060, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2070, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2080, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2090, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2100, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2240, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2280, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2420, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2430, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2510, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2520, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2530, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2540, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2550, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2560, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2570, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2700, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2710, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2710, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2720, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2730, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2740, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2750, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2760, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2770, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2850, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2860, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2870, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2880, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2890, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2900, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2910, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 2910, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2920, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 2930, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3070, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3080, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3090, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3180, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 3190, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 3200, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 3230, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3240, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3250, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3260, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3270, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3280, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3420, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3430, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3470, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 3480, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 3490, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 3500, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 3570, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3580, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3590, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3600, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3610, type = PetMoveEvent, source = Cat - ID: 81.0
 Event raise time = 3640, type = PetMoveEvent, source = Dog - ID: 80.0
 Event raise time = 3750, type = PetMoveEvent, source = Cat - ID: 81.0
